Title,Year,Released,Genre,Runtime,Director,Writer,Actors,Rated,IMDB Rating,Metascore,IMDB Votes,Awards,Box Office,Country,Language,Description,Poster URL
The BFG,2016,01 Jul 2016,"Adventure, Family, Fantasy",117 min,Steven Spielberg,"Melissa Mathison, Roald Dahl","Mark Rylance, Ruby Barnhill, Penelope Wilton",PG,6.3,66,"96,806",Nominated for 1 BAFTA Award4 wins & 26 nominations total,"$55,483,770","United Kingdom, India, United States","English, Hindi","Ten-year-old Sophie is in for the adventure of a lifetime when she meets the Big Friendly Giant. Naturally scared at first, the young girl soon realizes that the twenty-four-foot behemoth is actually quite gentle and charming. As their friendship grows, Sophie's presence attracts the unwanted attention of Bloodbottler, Fleshlumpeater, and other giants. After travelling to London, Sophie and the BFG must convince Queen Elizabeth to help them get rid of all of the bad giants once and for all.",https://m.media-amazon.com/images/M/MV5BNjAzOTUzNTY3Ml5BMl5BanBnXkFtZTgwMjYwNzE5ODE@._V1_SX300.jpg
Street Fighter,1994,23 Dec 1994,"Action, Adventure, Comedy",102 min,Steven E. de Souza,Steven E. de Souza,"Jean-Claude Van Damme, Raul Julia, Ming-Na Wen",PG-13,4.1,34,"77,991",4 nominations total,"$33,423,521","Japan, United States, Australia, Hong Kong","English, Japanese, Esperanto","Col. William Guile leads an army of soldiers into the country of Shadaloo to find traces to lead him to General M. Bison, who has captured many people including three missing soldiers. Among them is Carlos ""Charlie"" Blanka, in which Bison decides to turn into a hideous mutant. On the other hand, Chun Li is a reporter who seeks revenge against Bison for the death of her father years ago. Then two small time hustlers Ryu and Ken, are arrested along with Sagat, a powerful arms dealer and Vega for dealing of illegal weapons. Guile recruits them in order to find Bison's base. Now Guile, T. Hawk, Cammy, Ryu, Ken, Chun Li, Balrog and E. Honda have three days before Bison murders the hostages and takes over the world.",https://m.media-amazon.com/images/M/MV5BMTliMDFmNDQtZjRlYS00MDE3LWJmOTktNjA0ZDUwZjcyNTdiXkEyXkFqcGc@._V1_SX300.jpg
Richard Jewell,2019,13 Dec 2019,"Biography, Crime, Drama",131 min,Clint Eastwood,"Billy Ray, Marie Brenner, Kent Alexander","Paul Walter Hauser, Sam Rockwell, Brandon Stanley",R,7.5,68,"101,229",Nominated for 1 Oscar. 6 wins & 20 nominations total,"$22,345,542",United States,English,"Based on the true story of Richard Jewell, a security guard who discovered a bomb and saved many lives at a concert at Centennial Olympic Park during the 1996 Summer Olympics in Atlanta, Georgia. He was seen as a hero by many and a suspect by the FBI and press.",https://m.media-amazon.com/images/M/MV5BMjI3ZThhNTYtM2ZlMy00OWMwLTk3M2MtM2IyYzYzN2IwMDA2XkEyXkFqcGc@._V1_SX300.jpg
Queen of the Damned,2002,22 Feb 2002,"Drama, Fantasy, Horror",101 min,Michael Rymer,"Anne Rice, Scott Abbott, Michael Petroni","Aaliyah, Stuart Townsend, Marguerite Moreau",R,5.3,30,"62,468",7 nominations total,"$30,336,800","United States, Australia",English,"After losing interest in immortality, vampire Lestat goes to sleep, awakening after a long time to the sounds of punk rock. Taking up as the leader of an undead band, Lestat gains fame but exposes vampires, drawing the attention of vampire enthusiast Jesse. His music also awakens the queen of the damned, Akasha the first vampire, who decides to make Lestat her king. After learning of her bloodlust, and designs to take over humankind, Lestat teams with the other vampire nobility to take her down. Lestat then turns Jesse into his undead mistress to spend eternity together.",https://m.media-amazon.com/images/M/MV5BMTYxNDEyMzEzMV5BMl5BanBnXkFtZTYwMDM1NjA3._V1_SX300.jpg
The Homesman,2014,18 May 2014,"Drama, Western",122 min,Tommy Lee Jones,"Tommy Lee Jones, Kieran Fitzgerald, Wesley A. Oliver","Tommy Lee Jones, Hilary Swank, Grace Gummer",R,6.6,68,"37,474",5 wins & 14 nominations total,"$2,429,989","France, United States","English, Danish","Nebraska, 1854. As the cold, snowy chill begins to settle, Mary Bee Cuddy, an independent, lonely yet strong-willed former teacher, undertakes to escort three women suffering from prairie madness to Lady's Aid Society Methodist Church, Hebron, Iowa. As Mary embarks on a long, challenging, and peril-laden journey, an unexpected ally in the shape of a claim jumper crosses paths with her: rugged George Briggs. However, whatever may be their fate, nothing will ever be the same again. What will it take to reach Altha Carter, the compassionate wife of the church's reverend?",https://m.media-amazon.com/images/M/MV5BMTQ4NTkxOTEyMl5BMl5BanBnXkFtZTgwOTI1NzcwMzE@._V1_SX300.jpg
The Bourne Legacy,2012,10 Aug 2012,"Action, Adventure, Thriller",135 min,Tony Gilroy,"Tony Gilroy, Dan Gilroy, Robert Ludlum","Jeremy Renner, Rachel Weisz, Edward Norton",PG-13,6.6,61,"322,486",1 win & 12 nominations total,"$113,203,870","United States, Japan, South Korea, Canada, United Arab Emirates, Philippines","English, Tagalog, Korean, Russian","When a British reporter was writing an expose about Black Ops operations Treadstone and Black Briar, and the ones responsible for them are concerned. And when Jason Bourne, former Treadstone operative got the file on Treadstone and Black Briar and gave it to Pamela Landy who then passed it to the media. When the men behind Treadstone and Black Briar learn of this, they're concerned how this will affect other ops they have. They decide it's best to shut down all ops and make sure make everyone involved disappears. They try to take out Aaron Cross who is part of another op called Outcome, but he manages to survive. He then seeks out Dr. Marta Shearing who worked on him when he began. It seems part of the program is for all subjects to take medications but he has run out, which is why he seeks her. But someone tries to kill her. He saves her and she tells him, he should have stopped taking the medications long ago. They go to Manila so that she can help him. Later the men behind Outcome learn that Cross and Shearing are still alive. They try to get them.",https://m.media-amazon.com/images/M/MV5BMTc4Njk3MDM1Nl5BMl5BanBnXkFtZTcwODgyOTMxOA@@._V1_SX300.jpg
Masters of the Universe,1987,07 Aug 1987,"Action, Adventure, Fantasy",106 min,Gary Goddard,"David Odell, Stephen Tolkin, Gary Goddard","Dolph Lundgren, Frank Langella, Meg Foster",PG,5.4,35,"46,791",2 wins & 5 nominations total,"$17,336,370",United States,English,"On the planet Eternia, Skeletor and his dark army overthrow the Sorceress of Castle Grayskull expecting to acquire her power. He-Man, his old friend Duncan ""Man-at-Arms"" and his daughter Teela are attacked by Skeletor's soldiers and they defeat them. They also rescue their prisoner, the inventor and locksmith Gwildor. He explains that he was lured by Evil-Lyn that used his invention the Cosmic Key to open the gates and seize the Castle Grayskull. He-Man and his friends retrieve the prototype of the Cosmic Key trying to release the Sorcereress but they are defeated by Skeletor and his army and Gwildor uses his key to open and portal for them to flee. They come to Earth but lose the key. Meanwhile, Julie Winston, who grieves the loss of her parents in a plane crash, and her boyfriend Kevin Corrigan find and activate the key, believing it is a foreign musical instrument. On Eternia, Evil-Lyn locates the Cosmic Key and Skeletor sends her with a group of mercenaries and soldiers to vanquish He-Han and his friends and bring the key back. Will they succeed?",https://m.media-amazon.com/images/M/MV5BOGM4ZDMxMjMtMmFhYi00OGJhLThiYzktMTVmYTgwNTk4ZDJhXkEyXkFqcGc@._V1_SX300.jpg
Double Jeopardy,1999,24 Sep 1999,"Crime, Drama, Mystery",105 min,Bruce Beresford,"David Weisberg, Douglas Cook","Ashley Judd, Tommy Lee Jones, Bruce Greenwood",R,6.5,41,"99,974",1 win & 3 nominations total,"$116,741,558","United States, Germany, Canada",English,When Nick Parsons appears to be murdered his wife Libby is tried and convicted. Six years later Libby is paroled and is pursued by Travis Lehman (her parole officer) as she sets out to find her son and settle the score with Nick.,https://m.media-amazon.com/images/M/MV5BZGFhMzVkYmQtYzI4OS00ZTYxLThjYTItYzZjYzY2OTlkMGQ4XkEyXkFqcGc@._V1_SX300.jpg
The Love Witch,2016,10 Mar 2017,"Comedy, Horror, Romance",120 min,Anna Biller,Anna Biller,"Samantha Robinson, Jeffrey Vincent Parise, Laura Waddell",Unrated,6.2,82,"22,203",3 wins & 5 nominations total,"$228,894",United States,English,"Elaine, a beautiful young witch, is determined to find a man to love her. In her gothic Victorian apartment she makes spells and potions, and then picks up men and seduces them. However her spells work too well, and she ends up with a string of hapless victims. When she finally meets the man of her dreams, her desperation to be loved will drive her to the brink of insanity and murder. With a visual style that pays tribute to Technicolor thrillers of the 1970s, THE LOVE WITCH explores female fantasy and the repercussions of pathological narcissism.",https://m.media-amazon.com/images/M/MV5BMjA5NDEyMjQwNV5BMl5BanBnXkFtZTgwNDQ1MjMwMDI@._V1_SX300.jpg
The Noel Diary,2022,24 Nov 2022,"Comedy, Drama, Romance",99 min,Charles Shyer,"Charles Shyer, Rebecca Connor, David Golden","Justin Hartley, Barrett Doss, Bonnie Bedelia",TV-14,6.2,63,"20,986",N/A,N/A,United States,English,"Jacob Churcher hasn't been home for almost twenty years not since his mentally ill mother kicked him out of the house when he was just sixteen. When a lawyer calls, days before Christmas, to inform him that his estranged mother has passed away and left her house to him, Jacob returns not just to settle the estate but to try and reconcile with the past and the pain and abuse he experienced as a child. Also, maybe cleaning out her house will be slightly less depressing than spending the holidays alone, watching re-runs of Christmas classics. But as it turns out, the house holds more than just difficult memories, Jacob's mother had become a hoarder and he must excavate through two decades worth of clutter.",https://m.media-amazon.com/images/M/MV5BZjg0M2M2MWUtZTMzZC00MDI0LTliMmYtM2VmMjllMDM0NWQ0XkEyXkFqcGc@._V1_SX300.jpg
Renfield,2023,14 Apr 2023,"Action, Comedy, Fantasy",93 min,Chris McKay,"Ryan Ridley, Robert Kirkman, Ava Tramer","Nicholas Hoult, Nicolas Cage, Awkwafina",R,6.4,53,"114,119",2 wins & 13 nominations total,"$17,297,895","United States, United Kingdom, Canada","English, French","Renfield, Dracula's tortured henchman, is forced to capture prey for his master and do his every bidding. But now, after centuries of servitude, Renfield is ready to see if there is a life outside his boss's shadow.",https://m.media-amazon.com/images/M/MV5BNDY2MWVmMTUtMTBkMS00ZWI4LWFlMDQtYjE0ZWM2NTc2NWExXkEyXkFqcGc@._V1_SX300.jpg
Valkyrie,2008,25 Dec 2008,"Drama, History, Thriller",121 min,Bryan Singer,"Christopher McQuarrie, Nathan Alexander","Tom Cruise, Bill Nighy, Carice van Houten",PG-13,7.1,56,"267,657",3 wins & 11 nominations total,"$83,077,833","United Kingdom, France, Germany, Italy, Spain, Japan, United States","English, German","In Nazi Germany during World War II, as the tide turned in favor of the Allies, a cadre of senior German officers and politicians desperately plot to topple the Nazi regime before the nation is crushed in a nearly inevitable defeat. To this end, Colonel Claus von Stauffenberg, an Army officer convinced he must save Germany from Adolf Hitler, is recruited to mastermind a real plan. To do so, he arranges for the internal emergency measure, Operation: Valkyrie, to be changed to enable his fellows to seize control of Berlin after the assassination of Der Führer. However, even as the plan is put into action, a combination of bad luck and human failings conspire on their own to create a tragedy that would prolong the greater one gripping Europe.",https://m.media-amazon.com/images/M/MV5BMTg3Njc2ODEyN15BMl5BanBnXkFtZTcwNTAwMzc3NA@@._V1_SX300.jpg
Daddy's Home 2,2017,10 Nov 2017,Comedy,100 min,Sean Anders,"Sean Anders, John Morris, Brian Burns","Will Ferrell, Mark Wahlberg, Mel Gibson",PG-13,6.0,30,"88,662",1 win & 8 nominations total,"$104,029,443",United States,"English, Spanish","After burying the hatchet in Daddy's Home (2015), the stepfather with a heart of gold, Brad, and the kids' biological dad with the perfect six-pack, Dusty, are now proud co-dads, working in unison to care for Megan and Dylan. This year, with Christmas just around the corner, the once-incompatible parents and their families decide to spend the holidays together; however, things will take a turn for the unexpected when Dusty's alpha-dad, Kurt, and Brad's touchy-feely father, Don, decide to pay a visit. Now--as the merry holidaymakers end up in a snow-capped cabin for a week--it seems that there's no escape from an impending Yuletide disaster unless the two pairs of fathers learn how to coexist and work together for the sake of the kids. Will things work out in the end? Can the four daddies save Christmas?",https://m.media-amazon.com/images/M/MV5BNDA4Nzc1OTg2OV5BMl5BanBnXkFtZTgwODE3ODgwNDI@._V1_SX300.jpg
National Treasure: Book of Secrets,2007,21 Dec 2007,"Action, Adventure, Mystery",124 min,Jon Turteltaub,"Marianne Wibberley, Cormac Wibberley, Gregory Poirier","Nicolas Cage, Diane Kruger, Justin Bartha",PG,6.5,48,"261,790",1 win & 5 nominations total,"$219,964,115",United States,"English, French","Several years since Benjamin Franklin Gates (Nicolas Cage) found the Knight's Templar and became rich and famous. Now, another treasure hunter named Mitch Wilkinson (Ed Harris) has found what is a missing page of the diary of John Wilkes Booth, which contains clues to the location of a lost city of gold, Ben must compete against Mitch to find the lost city, he goes to France and Great Britain to find other clues and even peak inside the President's secret book to put the pieces of the puzzle together, his parents and his friends also help Ben find the lost city and to stay one step ahead of Mitch.",https://m.media-amazon.com/images/M/MV5BMjEwMjUyOTQ0MF5BMl5BanBnXkFtZTYwODA2Njk3._V1_SX300.jpg
All About Eve,1950,27 Oct 1950,Drama,138 min,Joseph L. Mankiewicz,"Joseph L. Mankiewicz, Mary Orr","Bette Davis, Anne Baxter, George Sanders",Approved,8.2,98,"145,739",Won 6 Oscars. 27 wins & 22 nominations total,"$63,463",United States,"English, French","Eve Harrington (Anne Baxter) is waiting backstage to meet her idol, talented but aging Broadway star Margo Channing (Bette Davis). It seems innocent enough as Eve explains that she has seen Margo in EVERY performance of her current play. Margo and her friends take Eve under their wing but only theatre critic Addison DeWitt (George Sanders) sees through Eve's evil plan, which is to take Margo's parts and her fiancé, Bill Simpson (Gary Merrill) too.",https://m.media-amazon.com/images/M/MV5BOTM4ZjUzOGUtYzdlZi00ZmM5LTk5NTEtMjQxNDVmOTc5NWNlXkEyXkFqcGc@._V1_SX300.jpg
Predators,2010,09 Jul 2010,"Action, Adventure, Sci-Fi",107 min,Nimród Antal,"Alex Litvak, Michael Finch, Jim Thomas","Adrien Brody, Laurence Fishburne, Topher Grace",R,6.4,51,"250,491",2 wins & 4 nominations total,"$52,000,688",United States,"English, Spanish, Russian","When a group of elite warriors find themselves in a jungle they realize that they are on a completely different planet and it's home to a race of extraterrestrial hunters. The group consists of a mercenary known as Royce, an IDF sniper known as Isabelle, a Russian Spetsnaz known as Nikolai, a drug cartel enforcer known as Cuchillo, an RUF officer known as Mombasa, a death row inmate known as Stans, a Yakuza assassin known as Hanzo, and an American doctor known as Edwin. It's up to these 8 individuals to stop their hunters and get off the planet.",https://m.media-amazon.com/images/M/MV5BODNhMWY0MDQtNjgwZC00YjM3LWEwMDItMWM3MTg4ZjA5ODgwXkEyXkFqcGc@._V1_SX300.jpg
